geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	10	3	2	SzSz nb	chi4	-0.14181095541185518	0.052991022972457336	0.3736736898680211	4.295191556842243	18.23679051877067	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	SzSz nb	chi8	-0.14181095541185518	0.025990007625408956	0.1832722129960083	9.66059762453014	18.23679051877067	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	SzSz nb	chi32	-0.14181095541185518	0.009049869629070062	0.06381643507574526	15.522953955469035	18.23679051877067	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	SzSz nb	exact	-0.14181095541185518	0.0	0.0	18.23679051877067	18.23679051877067	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	SzSz nb	UHF	-0.14181095541185518	0.0641560941380045	0.4524057676057455	3.303174023369239	18.23679051877067	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	SzSz nb	UHFsym	-0.14181095541185518	-0.06931606416467904	0.48879202571738917	3.839426952225013	18.23679051877067	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	n	chi4	0.9999794736768338	-0.025627138986924813	0.025627665028659187	10.810372490254796	58.757461286586164	0.3829123702363809	1.5690815497844373
torus	8.0	11	3	3	n	chi8	0.9999794736768338	0.006299443089075485	0.006299572396134297	20.2594782720446	58.757461286586164	0.5879253494917182	1.5690815497844373
torus	8.0	11	3	3	n	chi32	0.9999794736768338	-0.0009283415510105142	0.0009283606068403449	47.82438064436078	58.757461286586164	0.8676193558453152	1.5690815497844373
torus	8.0	11	3	3	n	exact	0.9999794736768338	0.0	0.0	58.757461286586164	58.757461286586164	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	n	UHF	0.9999794736768338	-2.052632316706937e-5	2.0526744505660643e-5	5.947552076986512	58.757461286586164	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	n	UHFsym	0.9999794736768338	-2.052632316706937e-5	2.0526744505660643e-5	0.999999999999999	58.757461286586164	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	Sz	chi4	-0.3240723248884781	0.08839993267660956	0.27277840743429826	10.692390595651675	29.363437476777108	0.3829123702363809	1.5690815497844373
torus	8.0	11	3	3	Sz	chi8	-0.3240723248884781	0.05466536234424141	0.16868259998151097	19.145182700053205	29.363437476777108	0.5879253494917182	1.5690815497844373
torus	8.0	11	3	3	Sz	chi32	-0.3240723248884781	0.01804696765443914	0.05568808648084831	29.002655358626235	29.363437476777108	0.8676193558453152	1.5690815497844373
torus	8.0	11	3	3	Sz	exact	-0.3240723248884781	0.0	0.0	29.363437476777108	29.363437476777108	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	Sz	UHF	-0.3240723248884781	0.12334671913500284	0.3806147876942276	6.659494347724807	29.363437476777108	1.0000000000000027	1.5690815497844373
torus	8.0	11	3	3	Sz	UHFsym	-0.3240723248884781	-0.3240723248884781	1.0	1.0000000000000004	29.363437476777108	1.0000000000000027	1.5690815497844373
